Id	Label	Num
-540471	dr a lenz	4	
-207681	dr j greensmith	2	
-123618	dr am jackson	2	
-16024	dr i spendlove	2	
-233701	dr s gibson	2	
-459455	dr j hernandez-castro	3	
39110	dr cj solomon	2	
-190079	professor wj byrne	4	
94384	professor m fasli	2	
-168040	professor v sena	2	
53225	professor r anderson	7	
-184416	professor lw sherman	7	
-128539	dr ar beresford	7	
65742	professor s deakin	7	
103439	dr ne griffiths	6	
115773	dr s miles	2	
-154576	dr g brown	4	
116096	dr m lujan	6	
-124859	dr g sanguinetti	2	
-9869	dr mh hennig	2	
106093	dr b tjahjono	5	
-490206	dr d damen	5	
106312	dr mc van rossum	7	
-428824	dr e barr	3	
-289131	dr m musolesi	3	
-399895	professor da clifton	6	
-19751	professor k bontcheva	3	
95298	professor mr huth	6	
-468003	dr w wiesemann	5	
51635	dr w davies	4	
-190482	dr w wang	4	
-115276	dr k mikolajczyk	6	
42655	professor tj cox	5	
129285	professor d frohlich	4	
114631	dr p jackson	4	
5628	professor s b furber	9	
14197	dr j shapiro	5	
-459023	professor k zografos	3	
5975	professor kd glazebrook	4	
-102272	dr jk handl	2	
109944	professor m schraefel	9	
-200769	dr m vlassopoulos	3	
-272433	dr s thomas	3	
-250168	dr e h gerding	3	
-225252	dr m tonin	3	
-413886	dr l cavallaro	10	
47801	professor v vovk	3	
5698	professor a gammerman	3	
-35861	dr hp shanahan	3	
112699	dr z luo	3	
-304040	mr g mcwilliams	7	
29766	professor m fisher	7	
-149587	dr rbd silva	2	
-248218	dr s kang	2	
-409675	dr p gregory	1	
17712	professor sj young	3	
109565	professor p tino	2	
-195007	dr va diaz	2	
21839	dr mj chappell	3	
-246071	dr p tiffin	2	
-223180	professor kt tsaneva-atanasova	6	
-490101	dr k kim	5	
-399351	dr e black	2	
-128228	dr mt pearce	4	
47213	professor b nuseibeh	4	
115201	mr b price	4	
112412	dr ak bandara	4	
106527	professor m levine	6	
97680	dr a russo	7	
84353	dr ec lupu	10	
-439354	dr j m such	3	
-214321	dr ps oliveto	2	
-410270	dr s nagaraja	3	
-447547	dr f garcia	3	
77481	dr d aspinall	5	
-444688	dr m lee	3	
-84373	professor s dobson	5	
44245	professor j mccann	9	
-306305	professor r k wortley	4	
-8873	professor lj mcdaid	3	
-79294	dr j harkin	3	
81295	dr d halliday	3	
16159	professor a tyrrell	5	
82513	professor j timmis	7	
-454274	dr n collier	4	
51356	professor l moreau	4	
-186552	professor sir tj berners-lee	4	
4049	professor d de roure	9	
110493	professor n krasnogor	14	
-212026	dr h murray	5	
-436064	dr p zuliani	8	
-176340	dr s woods	5	
-172854	professor n zenkin	5	
-108516	professor m kaiser	7	
-3154	dr ra daniel	5	
98121	professor a wipat	11	
-425306	dr y yuzenkova	5	
114524	dr p lord	5	
1493	professor a blake	2	
96585	dr ek kemsley	3	
92844	dr a bagnall	3	
28149	professor s cox	3	
-413145	professor a r p wade	4	
-437992	dr jd hook	4	
92734	professor n holliman	4	
98490	dr dt murphy	5	
48693	professor h petrie	5	
21216	professor j austin	5	
105984	professor f li	5	
-124389	dr dj reed	5	
-86369	dr ej marsden	4	
-56090	professor j richards	4	
92048	professor aj millar	2	
-503344	mr ac hume	2	
-286221	dr oe akman	2	
9078	dr rsk kwan	2	
51893	professor m mahfouf	3	
31980	professor dj allerton	3	
-302369	dr j chen	3	
-475884	dr mm lone	3	
-7328	professor ar lomuscio	2	
72946	professor ph torr	5	
-1912	professor a glennerster	4	
-421177	professor a leonardis	5	
21837	professor sm veres	3	
-415036	dr j liu	3	
31747	professor aft winfield	3	
80542	professor pg schyns	4	
-295283	mrs m de lucena	5	
