"EP/G037264/1","['-306305']"
"EP/N00714X/1","['-8873', '-79294']"
"EP/N007050/1","['81295', '16159', '82513']"
"EP/M005089/1","['-454274']"
"EP/J017728/2","['14179', '51356', '-186552', '4049', '6610', '21766', '104689', '109944']"
"EP/K024043/1","['-283417']"
"EP/N031962/1","['110493', '-212026', '-436064', '-185192', '-176340', '-172854', '-108516', '-3154', '98121', '-425306', '114524']"
"EP/N510129/1","['1493']"
"EP/M016358/1","['96585']"
"EP/M015807/1","['92844', '28149']"
"EP/M023265/1","['53920', '77499', '-413145', '-437992', '92734', '98328', '98490', '48693', '21216', '105984', '-181125', '-124389', '-102334', '-86369', '-56090', '-11556']"
"EP/N018125/1","['92048', '-503344']"
"EP/N017846/1","['-117223', '-286221']"
"EP/M007243/1","['9078']"
"EP/N029356/1","['51893', '31980']"
"EP/N029577/1","['-485755']"
"EP/N029496/1","['-302369', '-475884']"
"EP/I00520X/1","['-7328']"
"EP/N019474/1","['72946']"
"EP/N019423/1","['-1912']"
"EP/N019415/1","['-421177']"
"EP/L024942/1","['21837', '-415036']"
"EP/L024845/1","['29766']"
"EP/L024861/1","['31747']"
"EP/N019261/1","['80542']"
"EP/I01358X/1","['-129543', '-295283']"
"EP/K015745/1","['107856', '-6151', '-320139']"
"EP/K026216/1","['109648', '-420340', '-10368', '-101075', '119644', '70382', '108198']"
"EP/I025782/1","['110657']"
"EP/N021746/1","['112150', '-199321', '-25755', '6888', '96913', '17627']"
"EP/L018527/2","['37305']"
"EP/M006670/1","['17241']"
"EP/L014580/1","['-95596', '100807']"
"EP/M018601/1","['31516']"
"EP/N022246/1","['-215744']"
"EP/L015366/1","['21338', '102', '27351', '-456663']"
"EP/L015838/1","['99124', '23065', '112306']"
"EP/M003868/1","['114691', '-197148']"
"EP/N005422/1","['-380444']"
"EP/N035119/1","['31516', '-474515', '49153']"
"EP/J011401/1","['37419', '-27231', '56694', '117038']"
"EP/L021803/1","['28335', '-24631']"
"EP/J002348/1","['-301337']"
"EP/N022696/1","['-453486']"
"EP/K017373/1","['-114265']"
"EP/M018555/1","['-27332']"
"EP/M018156/1","['-413757', '-110959']"
"EP/M018091/1","['112206']"
"EP/N007948/1","['-494980']"
"EP/L014769/1","['11644', '-187021', '61397']"
"EP/L014734/1","['-253069']"
"EP/L014718/1","['2803', '-27189', '108019']"
"EP/K028774/1","['-142355', '90693', '-421873']"
"EP/K503332/1","['94941', '-186322']"
"EP/K038656/1","['15868', '49257', '30452', '-10157', '12295', '2663', '54941', '123884', '16532', '54502', '99170', '-420667', '94574', '29307', '86007']"
"EP/L01520X/1","['40973', '-186322']"
"EP/J019798/1","['-398845']"
"EP/N013522/1","['-101572', '-3644', '2953', '9295', '-151814', '-447846', '35164', '125972']"
"EP/N013514/1","['-57753', '-498283']"
"EP/N023080/1","['-214543']"
"EP/L015455/1","['14115', '12308', '116932', '16932', '119760']"
"EP/F500394/1","['53062', '89149', '46741', '79518']"
"EP/G037256/1","['14115', '12308']"
"EP/N509930/1","['14544', '-543352']"
"EP/K036734/1","['102972', '-197775', '-124555', '-66096', '92020', '92028', '78329', '118983', '-360884']"
"EP/K036750/1","['104071', '43092']"
"EP/J000345/2","['-192969', '85957', '-192622', '-189902', '50173', '6220', '-63445', '38142', '12657', '70345']"
"EP/K036548/2","['103908', '78969', '1924']"
"EP/L002477/1","['-124555', '13614', '-79436']"
"EP/L014912/1","['50173', '-211940', '12657', '17161', '29279', '68709']"
"EP/K036793/1","['1924', '-410393', '-199321', '-436272', '-156262', '-4011', '835', '-387066']"
