"GR/M65038/01","['Building Ops & Management', 'Heat & Mass Transfer']"
"GR/L41042/01","['Chemical Synthetic Methodology']"
"GR/K78904/01","['Chemical Synthetic Methodology']"
"GR/L48461/01","['Vision & Senses - ICT appl.']"
"GR/M12223/01","['Design & Testing Technology']"
"GR/K91729/01","['Asymmetric Chemistry']"
"GR/G22633/01","[]"
"GR/L32897/01","['Building Ops & Management']"
"GR/M48253/01","['Instrumentation Eng. & Dev.', 'Materials Characterisation']"
"GR/G49371/01","[]"
"GR/M41391/01","['Electric Motor & Drive Systems']"
"GR/K32371/01","['Electric Motor & Drive Systems']"
"GR/L01930/01","['Building Ops & Management']"
"GR/M42060/01","['Digital Signal Processing']"
"GR/L34990/01","['Building Ops & Management']"
"GR/J07280/01","['Instrumentation Eng. & Dev.']"
"GR/L99456/01","['Instrumentation Eng. & Dev.']"
"GR/J59685/01","['Biomaterials']"
"GR/J59135/01","['Biomaterials']"
"GR/M50980/01","['Analytical Science']"
"GR/J50972/01","['Materials Characterisation']"
"GR/K87425/01","['Chemical Synthetic Methodology']"
"GR/H98090/01","['Biological & Medicinal Chem.']"
"GR/H04480/01","[]"
"GR/L72657/01","['Instrumentation Eng. & Dev.']"
"GR/M69777/01","['Plasmas - Technological']"
"GR/J47538/01","['Building Ops & Management', 'Civil Engineering Materials']"
"GR/M83759/01","['Gas & Solution Phase Reactions']"
"GR/K02435/01","['Biological & Medicinal Chem.']"
"GR/M56746/01","['Magnetism/Magnetic Phenomena']"
"GR/L76327/01","['Electric Motor & Drive Systems']"
"GR/J09444/01","['Power Sys Man, Prot & Control']"
"GR/F90325/01","[]"
"GR/K87487/01","['Building Ops & Management']"
"GR/M50447/01","['Condensed Matter Physics', 'Instrumentation Eng. & Dev.', 'Materials Characterisation']"
"GR/M30937/01","['Continuum Mechanics']"
"GR/K77471/01","['Building Ops & Management']"
"GR/L60227/01","['Instrumentation Eng. & Dev.']"
"GR/F90080/01","[]"
"GR/L78109/01","['Numerical Analysis']"
"GR/G47476/01","[]"
"GR/M33617/01","['Multiphase Flow']"
"GR/J53348/01","['Information & Knowledge Mgmt']"
"GR/G57826/01","[]"
"GR/G58793/01","[]"
"GR/M87023/01","['Waste Management']"
"GR/K85933/01","['Chemical Structure']"
"GR/K82864/01","['Materials Characterisation']"
"GR/J11607/01","['Instrumentation Eng. & Dev.', 'Oil & Gas Extraction']"
"GR/J30950/01","['Chemical Structure']"
"GR/L06737/01","['Multimedia', 'Networks & Distributed Systems']"
"GR/K31534/01","['Materials Characterisation']"
"GR/L87224/01","['Plasmas - Technological']"
"GR/K40284/01","['Parallel Computing']"
"GR/K40291/01","['Parallel Computing']"
"GR/L63266/01","['Atoms & Ions']"
"GR/L63266/02","['Atoms & Ions']"
"GR/K82055/01","['Parallel Computing']"
"GR/G64398/01","[]"
"GR/J21736/01","['Manufacturing Machine & Plant']"
"GR/J32800/01","['Condensed Matter Physics']"
"GR/H82105/01","[]"
"GR/J84656/01","['Information & Knowledge Mgmt']"
"GR/J84656/02","['Information & Knowledge Mgmt']"
"GR/L23260/01","['Fundamentals of Computing']"
"GR/L96257/01","['Cognitive Science Appl. in ICT']"
"GR/K68127/01","['Design of Process systems']"
"GR/H27779/01","['Materials Characterisation']"
"GR/H54317/01","[]"
"GR/H94948/01","['Atoms & Ions', 'Chemical Structure']"
"GR/K67984/01","['Atoms & Ions']"
"GR/H41744/01","[]"
"GR/K47702/01","['Atoms & Ions']"
"GR/G57468/01","[]"
"GR/J72110/01","['Instrumentation Eng. & Dev.']"
"GR/G35237/01","[]"
"GR/G59899/01","[]"
"GR/L88023/01","['Construction Ops & Management', 'Pavement Engineering']"
"GR/L98510/02","['Catalysis & Applied Catalysis']"
"GR/L98510/01","['Catalysis & Applied Catalysis']"
"GR/M96582/01","['Manufact. Enterprise Ops& Mgmt', 'Nuclear Structure']"
"GR/M50959/01","['Condensed Matter Physics', 'Instrumentation Eng. & Dev.']"
"GR/M50942/01","['Condensed Matter Physics', 'Instrumentation Eng. & Dev.']"
"GR/M01050/01","['Mathematical Analysis']"
"GR/H77194/01","['Networks & Distributed Systems']"
"GR/J43653/01","['Construction Ops & Management']"
"GR/K58678/01","['Atoms & Ions']"
"GR/M70964/01","['Biological & Medicinal Chem.']"
"GR/L06362/01","['Electric Motor & Drive Systems']"
"GR/K79321/01","['Design of Process systems']"
"GR/M07427/01","['Eng. Dynamics & Tribology']"
"GR/M52793/01","['Image & Vision Computing']"
"GR/M16078/01","['Image & Vision Computing']"
"GR/J07884/01","['Image & Vision Computing']"
"GR/H66310/01","['Plasmas - Technological']"
"GR/H69304/01","['Plasmas - Laser & Fusion']"
"GR/K98193/01","['Magnetism/Magnetic Phenomena']"
"GR/L69435/01","['Magnetism/Magnetic Phenomena', 'Materials Synthesis & Growth']"
"GR/M18669/01","['Magnetism/Magnetic Phenomena']"
"GR/M60804/01","['Continuum Mechanics']"
"GR/K14124/01","['Building Ops & Management', 'Energy Efficiency']"
"GR/H26307/01","['Digital Signal Processing']"
"GR/H26314/01","[]"
"GR/J94372/01","['Robotics & Autonomy']"
"GR/H23344/01","[]"
"GR/M62648/02","['Robotics & Autonomy']"
"GR/M62648/01","['Robotics & Autonomy']"
"GR/K39714/01","['Electrochemical Science & Eng.', 'Energy Storage']"
"GR/K81485/01","['Plasmas - Technological']"
"GR/K81492/01","['Plasmas - Technological']"
"GR/G06244/01","[]"
"GR/H59862/01","['Atoms & Ions']"
"GR/K24741/01","['Atoms & Ions']"
"GR/L21891/01","['Atoms & Ions']"
"GR/J57353/01","['Manufact. Enterprise Ops& Mgmt']"
"GR/J18897/01","['Software Engineering']"
"GR/M24967/01","['Design Engineering']"
