"GR/M01449/01","[[['peric, professor d', '28055'], ['owen, professor dr', '11943'], ['evans, professor r', '5010']], 426774]"
"GR/G37101/01","[[['williams, professor dj', '17189']], 25000]"
"GR/K40475/01","[[['glaser, mr h', '5966'], ['de roure, professor d', '4049']], 110771]"
"GR/L05419/01","[[['pannell, professor c', '37044']], 148912]"
"GR/L06584/01","[[['townsend, professor p', '72851']], 13028]"
"GR/M96759/01","[[['ross, dr k', '13627'], ['west, professor j', '21678'], ['west, dr j', '44825']], 3805]"
"GR/L41202/01","[[['ross, dr k', '13627'], ['west, dr j', '44825'], ['west, professor j', '21678']], 52644]"
"GR/H72953/01","[[['donaldson, professor gb', '4320'], ['pegrum, dr cm', '12279'], ['odonnell, professor k', '11746']], 55773]"
"GR/L33375/01","[[['kaye, professor ph', '8650']], 89213]"
"GR/M32245/01","[[['black, dr ra', '28648'], ['how, dr tv', '7698'], ['hunt, professor ja', '44891'], ['gilling-smith, mr g', '58217']], 161234]"
"GR/L88825/01","[[['searle, professor m', '51894'], ['laughton, dr ca', '52064']], 52170]"
"GR/H57943/01","[[['hayden, professor be', '7021']], 6045]"
"GR/L16385/01","[[['tong, professor h', '15930'], ['yao, professor q', '39564']], 72725]"
"GR/K75736/01","[[['champneys, professor ar', '34187'], ['hogan, professor sj', '27122']], 7528]"
"GR/H75091/01","[[['pilling, professor m', '12486'], ['merkin, professor jh', '10774'], ['brindley, professor j', '1941']], 91597]"
"GR/L11762/01","[[['handy, professor n', '6722'], ['robb, professor m a', '13385'], ['dyke, professor j', '4603'], ['allan, professor nl', '213'], ['balint-kurti, professor g', '782'], ['williams, professor i', '17139']], 563165]"
"GR/G61946/01","[[['elliman, professor d', '4792'], ['marston, dr r', '10200'], ['brooks, dr r', '2002']], 85683]"
"GR/J38840/01","[[['de silva, professor a', '4050']], 136886]"
"GR/L65895/01","[[['popelier, professor p', '49658']], 51757]"
"GR/G27621/01","[[['allen, dr ar', '-3093'], ['player, professor ma', '12536']], 98483]"
"GR/H20053/01","[[['imrie, professor d', '8016']], 81290]"
"GR/K81812/01","[[['prutton, professor m', '12828'], ['el-gomati, professor m', '4769']], 230589]"
"GR/J88050/01","[[['lea, professor rm', '9280'], ['jalowiecki, dr i', '8147'], ['jalowiecki, dr i', '21742']], 140654]"
"GR/J44018/01","[[['fisher, professor r', '5270'], ['hallam, professor j', '6628']], 75666]"
"GR/M05270/01","[[['barrett, professor p', '959'], ['ormerod, professor mg', '54722'], ['newton, miss r', '54723']], 41466]"
"GR/M55831/01","[[['fraga, professor e', '41099']], 7022]"
"GR/J57797/01","[[['forsyth, professor t', '5424'], ['mahendrasingam, dr a', '36066'], ['fuller, professor w', '5621']], 4200]"
"GR/L87736/01","[[['stevens, professor gc', '-214011'], ['hamerton, dr i', '6655']], 34122]"
"GR/J45626/01","[[['kuo, professor c', '9072'], ['hayward, professor g', '7052']], 54167]"
"GR/L37458/01","[[['langley, dr a', '39292'], ['riley, professor d', '38008'], ['newell, professor wr', '11522'], ['ledingham, professor k', '9313'], ['preston, dr s', '46813'], ['williams, professor id', '17138'], ['codling, professor k', '3119'], ['taday, dr p', '46810'], ['ross, dr i', '44424']], 194383]"
"GR/L69602/01","[[['wheel, dr m', '50260']], 51482]"
"GR/J70253/01","[[['fairhurst, professor mc', '5056'], ['lee, dr p', '9335'], ['horne, dr e', '7646']], 100970]"
"GR/G60666/01","[[['holding, dr dj', '7511'], ['carpenter, dr g', '2573']], 152180]"
"GR/J13687/01","[[['swithenbank, professor j', '15405'], ['priestman, dr gh', '12781']], 122313]"
"GR/H87087/01","[[['probert, professor s', '12806']], 26588]"
"GR/L06553/01","[[['ivankovic, professor a', '29509'], ['issa, dr r', '8089'], ['leevers, dr p', '9366']], 246631]"
"GR/J16305/01","[[['birch, professor d', '1408'], ['sherrington, professor dc', '14331'], ['imhof, professor b', '36038']], 30774]"
"GR/J26090/01","[[['woolfson, professor mm', '17511']], 94697]"
"GR/K42042/01","[[['derrick, professor pj', '4142'], ['crout, professor d', '3615'], ['jennings, professor k', '8293'], ['dalton, professor h', '3762']], 793610]"
"GR/G12740/01","[[['cox, dr g', '3459'], ['perutz, professor r', '12353']], 91248]"
"GR/K26516/01","[[['tah, professor j', '29623'], ['howes, professor r', '75991'], ['howes, professor r', '7746']], 75473]"
"GR/L77201/01","[[['browne, professor m', '50844'], ['jones, professor p', '32377'], ['jones, professor pm', '-119801']], 41286]"
"GR/K40314/01","[[['treleaven, professor p', '29307']], 194913]"
"GR/M33402/01","[[['schneider, professor sa', '43613']], 86076]"
"GR/G29915/01","[[['mcghee, dr d', '10528']], 1600]"
"GR/L33474/01","[[['sutcliffe, dr m', '38341']], 129902]"
"GR/J06108/01","[[['sampson, professor g', '21318']], 214305]"
"GR/H55949/01","[[['sampson, professor g', '21318']], 215061]"
"GR/K57855/01","[[['binns, professor c', '1401'], ['holland, dr d', '40029'], ['holland, dr d', '69810']], 636244]"
