Source	Target	Type	Weight	TotalVal
28	112	Undirected	1.0	395222
28	114	Undirected	4.0	5089379
28	117	Undirected	1.0	342884
29	33	Undirected	1.0	179235
29	35	Undirected	2.0	9550160
29	40	Undirected	23.0	3871772
29	55	Undirected	3.0	521059
29	59	Undirected	3.0	521059
29	68	Undirected	1.0	397424
29	74	Undirected	1.0	737970
29	88	Undirected	3.0	1438055
29	97	Undirected	2.0	766110
29	112	Undirected	1.0	6550555
29	117	Undirected	2.0	13344696
30	45	Undirected	1.0	712097
30	50	Undirected	2.0	2687593
30	52	Undirected	14.0	26592517
30	64	Undirected	3.0	10432737
30	71	Undirected	1.0	1400235
30	83	Undirected	1.0	1975496
30	89	Undirected	4.0	7464851
30	98	Undirected	3.0	2907216
30	106	Undirected	1.0	2503462
30	111	Undirected	1.0	2203028
30	114	Undirected	1.0	2203028
31	45	Undirected	2.0	337657
31	48	Undirected	4.0	7471995
31	50	Undirected	11.0	15300083
31	51	Undirected	6.0	10489930
31	52	Undirected	1.0	5199944
31	55	Undirected	3.0	883495
31	65	Undirected	2.0	943011
31	66	Undirected	3.0	1786948
31	70	Undirected	7.0	14560687
31	73	Undirected	1.0	95857
31	78	Undirected	5.0	11462182
31	79	Undirected	3.0	12536083
31	80	Undirected	1.0	1344142
31	82	Undirected	1.0	238693
31	94	Undirected	8.0	7906937
31	95	Undirected	25.0	20209524
31	97	Undirected	4.0	1994768
31	102	Undirected	2.0	794030
31	115	Undirected	7.0	5371071
32	60	Undirected	2.0	11438674
32	66	Undirected	1.0	4462097
32	72	Undirected	2.0	11438674
32	78	Undirected	1.0	4462097
32	79	Undirected	2.0	4559125
32	80	Undirected	1.0	4462097
32	84	Undirected	3.0	11535702
32	87	Undirected	1.0	4145262
33	36	Undirected	1.0	843022
33	37	Undirected	4.0	1765038
33	40	Undirected	1.0	837467
33	66	Undirected	1.0	582976
33	72	Undirected	2.0	4951809
33	73	Undirected	1.0	582976
33	88	Undirected	1.0	512391
34	35	Undirected	1.0	3266366
34	37	Undirected	1.0	3266366
34	41	Undirected	2.0	3289944
34	42	Undirected	1.0	6150850
34	44	Undirected	1.0	23578
34	49	Undirected	3.0	1414969
34	60	Undirected	2.0	892110
34	87	Undirected	1.0	23578
34	88	Undirected	2.0	7591706
34	97	Undirected	1.0	629902
34	99	Undirected	1.0	1296214
34	105	Undirected	5.0	7130401
34	108	Undirected	4.0	8486506
34	109	Undirected	3.0	8633183
34	110	Undirected	3.0	972476
35	36	Undirected	2.0	269639
35	37	Undirected	6.0	5933156
35	38	Undirected	1.0	233012
35	39	Undirected	1.0	6044904
35	40	Undirected	2.0	351424
35	41	Undirected	2.0	10340228
35	46	Undirected	1.0	5832641
35	48	Undirected	2.0	4187174
35	49	Undirected	1.0	7073862
35	50	Undirected	1.0	391320
35	55	Undirected	9.0	2558977
35	59	Undirected	2.0	483607
35	60	Undirected	1.0	7073862
35	72	Undirected	1.0	187045
35	74	Undirected	1.0	7073862
35	87	Undirected	1.0	298644
35	88	Undirected	2.0	593309
35	93	Undirected	3.0	7105861
35	95	Undirected	1.0	391320
35	97	Undirected	1.0	298572
35	99	Undirected	3.0	7536560
35	103	Undirected	3.0	10328510
35	106	Undirected	4.0	13930188
35	112	Undirected	7.0	20539557
35	116	Undirected	3.0	1924155
35	117	Undirected	4.0	20868336
35	118	Undirected	1.0	7073862
36	37	Undirected	11.0	15104548
36	50	Undirected	2.0	1150322
36	62	Undirected	1.0	214718
36	72	Undirected	2.0	7039740
36	88	Undirected	1.0	756016
36	94	Undirected	1.0	560162
36	97	Undirected	1.0	756016
36	99	Undirected	3.0	1624465
36	102	Undirected	2.0	712099
36	106	Undirected	2.0	7012467
