Id	Label	Num
108032	cartmell, professor sh	1	
-160478	carty, dr d	1	
-304448	casale, dr g	1	
-252552	cascini, dr p	1	
2627	case, professor k	1	
124929	casey, dr aj	2	
-252570	casiraghi, dr c	2	
-427018	cass, dr t	1	
2637	cass, professor aeg	2	
101427	cassar, professor m	2	
-471002	cassidy, dr b	1	
-142355	cassidy, dr d	1	
-108890	cassidy, dr m	3	
-474635	casson, dr aj	1	
58296	castell, professor mr	2	
-485084	castellani, dr m	1	
-225119	castellazzi, dr a	2	
-187259	castelnovo, dr c	2	
2652	castro, professor i	1	
37521	cates, professor m	2	
2663	catlow, professor r	13	
-81677	caton-rose, dr p	1	
-118661	caulfield, professor cp	1	
2673	causon, professor dm	3	
103370	cavalcanti, professor alc	1	
-413886	cavallaro, dr l	3	
2683	cawley, professor p	5	
-461122	cawthorne, dr c j	1	
-233635	cazin, dr c s j	1	
2688	cebon, professor d	1	
-242443	cegla, dr f	2	
-173031	ceglarek, professor d	1	
-409265	cercignani, professor m	1	
39752	cernik, professor rj	3	
127275	ces, dr o	3	
-426682	ceschin, dr f	1	
-265313	cespedes, dr o	3	
-492444	cha, professor s	1	
-353852	chachuat, dr b	2	
111039	chadwick, dr a	3	
-215182	chadwick, dr ekj	1	
24451	chadwick, professor d	2	
-119443	chakraborty, professor n	1	
-476363	chakrapani rao, dr a	1	
2711	chalker, professor j	1	
28488	chalker, professor pr	5	
82103	challenor, professor p	1	
-465660	challis, professor r e	1	
-184599	chalmers, dr h	3	
2715	chalmers, professor a	1	
74172	chalmers, professor m	2	
-40872	chalykh, dr o	1	
-107143	chambers, dr je	1	
36938	chambers, professor j	2	
46021	champness, professor nr	1	
34187	champneys, professor ar	2	
-481535	chana, dr d	1	
2755	chantler, professor m	2	
29315	chaplain, professor maj	2	
2762	chaplin, professor jr	1	
-434125	chapman, dr m	1	
28462	chapman, professor dn	3	
-6883	chapman, professor l	1	
-111594	chapon, professor l	1	
-513828	chappell, dr d	1	
21839	chappell, dr mj	2	
-511776	charbonneau, dr c	2	
75469	charles, dr ea	2	
105998	charlton, dr mdb	1	
-26224	charlton, dr tr	1	
2803	charlton, professor m	1	
-300675	charnley, dr f	2	
-95524	charrett, dr toh	2	
-109563	chataway, professor jc	1	
-109337	chater, professor n	1	
-53255	chatterton, dr tj	1	
-193164	chatterton, professor p	1	
-187021	chattopadhyay, professor s	1	
-498502	chau, dr d	1	
-159823	chaudhuri, dr b	2	
30229	cheeseman, professor c	1	
-201321	cheetham, professor ak	1	
-483488	chekhovich, dr ea	1	
-210851	chen, dr j	2	
-302369	chen, dr j	1	
-417888	chen, dr j	1	
-501821	chen, dr t	1	
-472126	chen, dr x	1	
-412855	chen, dr y	1	
-424234	chen, dr y	2	
39843	chen, professor d	1	
-284236	chen, professor g	1	
74687	chen, professor g	1	
40650	chen, professor k	2	
89691	chen, professor r	1	
-211404	chen, professor t	2	
77575	chen, professor w	2	
58212	chen, professor x	1	
-189931	cheney, dr j	1	
-407142	cheng, dr j	1	
81457	cheng, professor k	1	
-498090	cheraghi, dr d	1	
-108962	cherednichenko, dr k	1	
84280	cherniakov, professor m	3	
2851	cherns, professor d	1	
94744	cherrett, dr t	1	
-28616	cheshire, professor nj	1	
-13724	chester, professor ka	2	
2867	cheung, professor pyk	2	
80847	cheung, professor r	1	
90168	cheverst, dr k	1	
-404511	chew, professor e	2	
-481035	chico-santamarta, dr l	1	
31869	childs, professor prn	2	
-170988	chinnery, professor p	1	
-325896	chiribiri, dr a	2	
46237	chittenden, professor j	4	
-530636	cho, dr h h	1	
21767	choi, professor k	2	
-111019	chong, dr hmh	5	
94248	chong, dr jp	1	
-210302	chong, dr tp	1	
-456154	chopra, dr a	1	
-136653	chothia, dr tc	1	
-258910	choubey, professor b	4	
-242884	choudhary, dr r	3	
-2847	chowienczyk, professor p	1	
27203	choy, professor k	3	
-419277	christensen, mr j	1	
91227	christenson, dr hk	2	
-25674	christian, dr j	1	
74448	christie, professor m	1	
-416286	christodoulou, dr g	1	
-3837	christy, dr jre	2	
116932	chu, professor d	3	
93609	chuang, professor j	1	
-101572	chuck, dr cj	1	
-22970	chue hong, mr np	1	
-189421	chung, dr eml	1	
113809	chung, dr ym	2	
22032	chung, professor pwh	1	
-530450	ciampa, dr f	1	
-219769	ciani, dr b	1	
