"GR/R81237/01","['Fundamentals of Computing', 'Mobile Computing', 'Multimedia']"
"GR/S19370/01","['Mathematical Aspects of OR']"
"GR/S24657/01","['Catalysis & Applied Catalysis', 'Materials Characterisation', 'Materials Synthesis & Growth', 'Separation Processes', 'Surfaces & Interfaces']"
"EP/E034179/1","['Materials testing & eng.']"
"GR/N01811/01","['Construction Ops & Management']"
"GR/N37414/01","['Artificial Intelligence']"
"GR/N02597/01","['Human-Computer Interactions', 'Networks & Distributed Systems', 'Software Engineering']"
"GR/S03034/01","['Biomedical neuroscience', 'Image & Vision Computing', 'Vision & Senses - ICT appl.']"
"GR/S18915/01","['Civil Engineering Materials', 'Power Sys Man, Prot & Control', 'Wind Power']"
"GR/S18922/01","['Civil Engineering Materials', 'Energy - Conventional', 'Wind Power']"
"GR/R02702/01","['Non-linear Systems Mathematics']"
"GR/R02719/01","['Non-linear Systems Mathematics']"
"EP/E009271/1","['Materials Characterisation', 'Materials Processing', 'Materials Synthesis & Growth']"
"GR/T23367/01","['Fundamentals of Computing']"
"GR/S90447/01","['Information & Knowledge Mgmt']"
"GR/S19486/01","['Eng. Dynamics & Tribology', 'eScience']"
"EP/C532767/1","['Biomaterials', 'High Performance Computing']"
"GR/R66395/01","['Surfaces & Interfaces']"
"GR/R66401/01","['Surfaces & Interfaces']"
"GR/R66418/01","['Surfaces & Interfaces']"
"EP/H02834X/1","['Electronic Devices & Subsys.']"
"GR/N28580/01","['Fluid Dynamics', 'Instrumentation Eng. & Dev.', 'Multiphase Flow']"
"GR/N28610/01","['Fluid Dynamics', 'Instrumentation Eng. & Dev.', 'Multiphase Flow']"
"EP/C544560/1","['Statistics & Appl. Probability']"
"EP/C53090X/1","['Asymmetric Chemistry', 'Biological & Medicinal Chem.', 'Catalysis & Applied Catalysis', 'Chemical Synthetic Methodology', 'Co-ordination Chemistry']"
"EP/C010973/1","['Analytical Science', 'Chemical Biology', 'Medical science & disease']"
"EP/E028624/1","['Analytical Science', 'Chemical Synthetic Methodology', 'Surfaces & Interfaces']"
"EP/E028446/1","['Analytical Science', 'Chemical Synthetic Methodology', 'Surfaces & Interfaces']"
"GR/R06496/01","['Magnetism/Magnetic Phenomena', 'Materials Characterisation']"
"GR/M94298/01","['Intelligent Measurement Sys.']"
"EP/D060001/1","['Transport Ops & Management', 'Urban & Land Management']"
"GR/T05028/01","['Aerodynamics']"
"EP/D05849X/1","['Electrochemical Science & Eng.', 'Fluid Dynamics', 'Multiphase Flow']"
"EP/G011591/1","['Heat & Mass Transfer']"
"GR/N65615/01","['Mathematical Aspects of OR']"
"EP/G049459/1","['Power Electronics']"
"EP/G005036/1","['Instrumentation Eng. & Dev.', 'Med.Instrument.Device& Equip.']"
"EP/F069162/1","['Coastal & Waterway Engineering']"
"GR/M93963/01","['Building Ops & Management']"
"GR/R66548/01","['Biomaterials']"
"GR/R70378/01","['Biomaterials']"
"GR/R66517/01","['Biomaterials']"
"GR/R66531/01","['Biomaterials']"
"EP/E02243X/1","['Combustion', 'Heat & Mass Transfer']"
"GR/N09893/01","['Eng. Dynamics & Tribology']"
"GR/S98054/01","['Analytical Science', 'Development (Biosciences)', 'Materials testing & eng.']"
"GR/S95435/01","['Structural Engineering']"
"GR/R80858/01","['Nuclear Structure']"
"GR/R06649/01","['Image & Vision Computing', 'Instrumentation Eng. & Dev.']"
"GR/S85474/01","['Aerodynamics', 'Instrumentation Eng. & Dev.', 'Lasers & Optics']"
"GR/R06069/01","['Materials Characterisation', 'Materials Synthesis & Growth']"
"GR/N17928/01","['Instrumentation Eng. & Dev.']"
"EP/D07455X/1","['Fluid Dynamics', 'Microsystems']"
"EP/C536991/1","['Computer Graphics & Visual.', 'eScience']"
"EP/C537009/1","['Computer Graphics & Visual.', 'eScience']"
"GR/R53104/01","['Lasers & Optics']"
"GR/R20922/01","['Human Communication in ICT']"
"GR/R62021/01","['Analytical Science', 'Bioelectronic Devices', 'Electronic Devices & Subsys.', 'Materials Processing', 'RF & Microwave Technology']"
"GR/S60310/01","['Condensed Matter Physics', 'Materials Characterisation']"
"EP/D069904/1","['Algebra & Geometry', 'Logic & Combinatorics']"
"EP/I000321/1","['Plasmas - Laser & Fusion']"
"GR/N39159/01","['VLSI Design']"
"GR/N01866/01","['Materials Characterisation', 'Materials Processing']"
"GR/A00667/01","['Biomaterials', 'Continuum Mechanics']"
"GR/R15429/01","['Eng. Dynamics & Tribology', 'Mech. & Fluid Power Transmiss.']"
"GR/R15412/01","['Eng. Dynamics & Tribology', 'Mech. & Fluid Power Transmiss.']"
"GR/T20441/01","['Medical science & disease']"
"GR/R20885/01","['Mathematical Analysis']"
"GR/S43764/01","['Materials Characterisation']"
"GR/N12312/01","['Combustion', 'Materials Characterisation']"
"GR/R59014/01","['Materials Characterisation', 'Materials Synthesis & Growth']"
"GR/N21901/01","['Microsystems']"
"GR/S10292/01","['Manufact. Enterprise Ops& Mgmt']"
"GR/S98412/01","['Electronic Devices & Subsys.', 'Materials Characterisation']"
"EP/E062180/1","['Eng. Dynamics & Tribology', 'Materials Characterisation']"
"GR/S27252/01","['Complexity Science', 'eScience']"
"GR/R24104/01","['Materials Characterisation', 'Materials Synthesis & Growth']"
"GR/N38718/01","['Fluid Dynamics', 'Water Engineering']"
"GR/S69344/01","['Fuel Cell Technologies']"
"EP/D051207/1","['Digital Signal Processing']"
"GR/N13043/01","['Power Sys Man, Prot & Control']"
"GR/S71668/01","['Power Sys Man, Prot & Control']"
"GR/N65110/02","['Construction Ops & Management']"
"GR/N65110/01","['Construction Ops & Management']"
"GR/R81121/01","['Chemical Structure']"
"GR/R55573/01","['Biological & Medicinal Chem.', 'Chemical Synthetic Methodology', 'Materials Characterisation', 'Materials Synthesis & Growth']"
"GR/R32581/01","['Transport Ops & Management']"
